file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t4072-diff-max-depth	yes	76	72	4	ok	72	76	0
t4073-diff-stat-name-width	yes	6	4	2	ok	4	6	0
t4074-diff-shifted-matched-group	yes	4	0	4	ok	0	4	0
t4100-apply-stat	yes	25	10	15	ok	10	25	0
t4101-apply-nonl	yes	12	12	0	ok	12	12	0
t4102-apply-rename	yes	5	1	4	ok	1	5	0
t4103-apply-binary	yes	24	7	17	ok	7	24	0
t4104-apply-boundary	yes	24	18	6	ok	18	24	0
t4105-apply-fuzz	yes	9	2	7	ok	2	9	0
t4106-apply-stdin	yes	3	3	0	ok	3	3	0
t4107-apply-ignore-whitespace	yes	11	7	4	ok	7	11	0
t4108-apply-threeway	yes	18	4	14	ok	4	18	0
t4109-apply-multifrag	yes	3	3	0	ok	3	3	0
t4110-apply-scan	yes	1	1	0	ok	1	1	0
t4111-apply-subdir	yes	10	10	0	ok	10	10	0
t4112-apply-renames	yes	2	0	2	ok	0	2	0
t4113-apply-ending	yes	3	3	0	ok	3	3	0
t4114-apply-typechange	yes	12	5	7	ok	5	12	0
t4115-apply-symlink	yes	8	1	7	ok	1	8	0
t4116-apply-reverse	yes	7	2	5	ok	2	7	0
t4117-apply-reject	yes	8	5	3	ok	5	8	0
t4118-apply-empty-context	yes	3	3	0	ok	3	3	0
t4119-apply-config	yes	11	1	10	ok	1	11	0
t4120-apply-popt	yes	12	3	9	ok	3	12	0
t4121-apply-diffs	yes	2	2	0	ok	2	2	0
t4122-apply-symlink-inside	yes	7	1	6	ok	1	7	0
t4123-apply-shrink	yes	2	2	0	ok	2	2	0
t4124-apply-ws-rule	yes	85	13	72	ok	13	85	0
t4125-apply-ws-fuzz	yes	4	2	2	ok	2	4	0
t4126-apply-empty	yes	8	3	5	ok	3	8	0
t4127-apply-same-fn	yes	7	3	4	ok	3	7	0
t4128-apply-root	yes	12	2	10	ok	2	12	0
t4129-apply-samemode	yes	23	12	11	ok	12	23	0
t4130-apply-criss-cross-rename	yes	7	7	0	ok	7	7	0
t4131-apply-fake-ancestor	yes	3	1	2	ok	1	3	0
t4132-apply-removal	yes	14	1	13	ok	1	14	0
